STATE,STATE_NAME,CASE_TYPE,CASEcount_White,CASEcount_Black,CASEcount_Hispanic,white_pop,black_pop,hispanic_pop,Coverage_White,Coverage_Black,Coverage_Hispanic,Black_Disparity,Hispanic_Disparity,STATE_ABBREV
1,Alabama,Partial Coverage,100234035.6,37571403.6,5351998.9,6778792.0,2626582.0,446556.0,14.786415573748242,14.304294935395125,11.985056521466513,1.0337046069401252,1.2337376588307445,AL
6,California,Complete Coverage,795443900.0,79554100.0,566342400.0,28424739.0,2552757.0,15574880.0,27.984211218263077,31.1639924990902,36.36255303411647,0.8979661774427666,0.7695887357526141,CA
6,California,Partial Coverage,858446500.0,89566000.0,650292700.0,28424739.0,2552757.0,15574880.0,30.20068187785295,35.08598742457664,41.75266197877608,0.8607619193495553,0.7233235067312525,CA
8,Colorado,Partial Coverage,248656650.1,10573521.3,36207885.0,5006612.0,264479.0,1256904.0,49.66565216158153,39.97867997081054,28.80720007255924,1.242303452686374,1.7240707891250888,CO
9,Connecticut,Complete Coverage,125493100.0,12327000.0,23011600.0,2841541.0,434585.0,600955.0,44.16374776925619,28.364991888813467,38.29171901390287,1.5569808002192098,1.1533498340260284,CT
9,Connecticut,Partial Coverage,135660100.0,13991400.0,27181400.0,2841541.0,434585.0,600955.0,47.741735910198024,32.19485256048874,45.23034170611776,1.4828996598291386,1.0555245463409926,CT
13,Georgia,Partial Coverage,222715600.0,100627500.0,0.0,6391505.0,3458147.0,1048724.0,34.845564542310456,29.098676256388174,0.0,1.1974965539767686,,GA
22,Louisiana,Complete Coverage,51719200.0,22861100.0,0.0,1708002.0,828097.0,154744.0,30.280526603598826,27.606790025806156,0.0,1.0968506869249677,,LA
22,Louisiana,Partial Coverage,55751800.0,25411400.0,0.0,1708002.0,828097.0,154744.0,32.64153086471796,30.686501702095285,0.0,1.0637097438346705,,LA
25,Massachusetts,Complete Coverage,287794400.0,22575600.0,36780800.0,5554165.0,621902.0,854907.0,51.815961535172256,36.300896282694055,43.02315924422189,1.4274017129399308,1.2043737011742406,MA
25,Massachusetts,Partial Coverage,310844500.0,25782600.0,42224100.0,5554165.0,621902.0,854907.0,55.96601829437908,41.457657315782875,49.390284557267634,1.349956121931494,1.1331382031113213,MA
29,Missouri,Complete Coverage,138067500.0,13636600.0,7676000.0,5086188.0,725579.0,268708.0,27.14557542898532,18.79409409588756,28.566324783780164,1.4443673257401215,0.9502648882714678,MO
29,Missouri,Partial Coverage,293063700.0,30375400.0,17000300.0,5086188.0,725579.0,268708.0,57.61951779997121,41.863670255065266,63.26681751194605,1.3763608744505524,0.9107383627932839,MO
37,North Carolina,Complete Coverage,294904900.0,74893000.0,32888500.0,7399487.0,2330563.0,1025830.0,39.85477641895986,32.135153608806114,32.06038037491592,1.2402236162965876,1.2431161437542482,NC
37,North Carolina,Partial Coverage,306558300.0,80308800.0,36537600.0,7399487.0,2330563.0,1025830.0,41.429669381134126,34.458969785412364,35.617597457668424,1.2022898432289375,1.1631797857891273,NC
47,Tennessee,Complete Coverage,0.0,0.0,0.0,5354405.0,1164461.0,391382.0,0.0,0.0,0.0,,,TN
47,Tennessee,Partial Coverage,173362400.0,30839600.0,12880700.0,5354405.0,1164461.0,391382.0,32.37752840885215,26.48401277500921,32.91081347634792,1.2225310674749474,0.9837960532978309,TN
48,Texas,Complete Coverage,1007067532.0261078,94611223.17022094,364129900.0,22806130.0,3739221.0,11525578.0,44.15775635875564,25.30238869813283,31.59320079218587,1.7452010909157454,1.3976980885607968,TX
48,Texas,Partial Coverage,1141957262.3930967,110957645.74410841,432579600.0,22806130.0,3739221.0,11525578.0,50.072382398640045,29.67400047873833,37.53213938598134,1.6874159732698437,1.3341201225886585,TX
51,Virginia,Complete Coverage,167466746.47638977,38599988.23072513,30095500.0,6289142.0,1743452.0,895697.0,26.6279162525492,22.13997760232294,33.6000902090774,1.2027074611744586,0.792495379829528,VA
51,Virginia,Partial Coverage,177289312.21081448,41696950.11173145,36412200.0,6087017.0,1720031.0,867771.0,29.125811906031227,24.24197593632408,41.96060942345388,1.2014619593112137,0.694122709517926,VA
54,West Virginia,Partial Coverage,68075200.0,2201200.0,0.0,1675122.0,64610.0,31162.0,40.63895047644291,34.06902956198731,0.0,1.1928414457036964,,WV
