STATE_NAME,STATE,COUNTY_NAME,COUNTY,DATE,CASE_TYPE,CASES_White,CASES_Black,CASES_Asian,CASES_Native,CASES_OtherRace,CASES_UnknownRace,CASES_Hispanic,CASES_NotHispanic,CASES_UnknownEthnicity,tot_pop,white_pop,black_pop,native_pop,asian_pop,hispanic_pop,nothispanic_pop,nothispanic_white_pop,nothispanic_black_pop,Hispanic_as_Race,COUNTY_x,COUNTY_y,Prop_unknown,Prop_unknown_to_black,Black_Disparity,Hispanic_Disparity
Texas,48,Bailey,48017,2021-07-01,Partial Coverage,14.965397923875432,7.317073170731708,16.438356164383563,,54.0,1193.0,15.978576210667262,,,7000.0,6445.0,149.0,238.0,73.0,4481.0,2519.0,2312.0,82.0,,,,0.007267355733257321,1.143780760626398,,0.9365914538671203
Texas,48,Bandera,48019,2021-07-01,Complete Coverage,27.184575487653625,32.589285714285715,31.20567375886525,,667.0,1177.0,21.139101861993428,,,23112.0,22032.0,256.0,305.0,141.0,4565.0,18547.0,17738.0,224.0,,,,0.0025971193620384133,0.22102739726027396,,1.285985358561024
Texas,48,Bandera,48019,2021-07-01,Partial Coverage,30.133047694215808,35.714285714285715,35.46099290780142,,759.0,1362.0,24.07447973713034,,,23112.0,22032.0,256.0,305.0,141.0,4565.0,18547.0,17738.0,224.0,,,,0.002684622665356304,0.231984375,,1.2516593514476357
Texas,48,Bastrop,48021,2021-07-01,Complete Coverage,21.73817187706689,16.58637302133517,31.446540880503143,,9072.0,3495.0,24.12685782488846,,,88723.0,77650.0,6457.0,1767.0,954.0,35189.0,53534.0,45358.0,5812.0,,,,0.004677599851168571,0.11734089607791602,1.3106043044555264,0.9009947351968277
Texas,48,Bastrop,48021,2021-07-01,Partial Coverage,26.273204285903258,20.474879559532003,38.9937106918239,,10816.0,5166.0,30.82213191622382,,,88723.0,77650.0,6457.0,1767.0,954.0,35189.0,53534.0,45358.0,5812.0,,,,0.0048282491156485755,0.12088682857377114,1.2831921286526868,0.8524135954422365
Texas,48,Baylor,48023,2021-07-01,Complete Coverage,17.659574468085108,8.98876404494382,30.0,,34.0,532.0,9.054325955734406,,,3509.0,3264.0,108.0,30.0,20.0,497.0,3012.0,2820.0,89.0,,,,0.008805550753005435,0.5830324074074074,,1.9504018912529553
Texas,48,Baylor,48023,2021-07-01,Partial Coverage,19.21985815602837,11.235955056179776,35.0,,39.0,552.0,11.267605633802816,,,3509.0,3264.0,108.0,30.0,20.0,497.0,3012.0,2820.0,89.0,,,,0.00834296795938703,0.4870277777777777,,1.7057624113475178
Texas,48,Bee,48025,2021-07-01,Complete Coverage,31.18397448674507,21.349557522123895,32.63598326359833,,1393.0,2691.0,17.793539034996893,,,32565.0,28689.0,2906.0,311.0,239.0,19316.0,13249.0,10034.0,2712.0,,,,0.003112181354863838,0.06582657285801397,1.460637975959458,1.7525448099679015
Texas,48,Bee,48025,2021-07-01,Partial Coverage,34.602352003189154,23.820058997050147,37.23849372384937,,1663.0,2976.0,20.428660178090702,,,32565.0,28689.0,2906.0,311.0,239.0,19316.0,13249.0,10034.0,2712.0,,,,0.00315563855305613,0.06701714612022953,1.4526560159852784,1.6938140681540843
Texas,48,Bell,48027,2021-07-01,Complete Coverage,25.88777882190019,15.262094525081498,23.701209455744916,,8568.0,10594.0,16.279646399310046,,,362924.0,238591.0,88715.0,3923.0,14552.0,92760.0,270164.0,161752.0,80677.0,,,,0.0020374854465671417,0.014152385175089773,1.6962140274623907,1.5901929431954585
Texas,48,Bell,48027,2021-07-01,Partial Coverage,29.282481824026906,18.6149708095244,27.831225948323254,,10435.0,12733.0,19.872789995687796,,,362924.0,238591.0,88715.0,3923.0,14552.0,92760.0,270164.0,161752.0,80677.0,,,,0.002123647514637033,0.01402907794345521,1.5730608510567443,1.4734962645094585
Texas,48,Bexar,48029,2021-07-01,Complete Coverage,47.83323351914129,22.809273145842027,37.20093130883172,,108681.0,64269.0,32.45064106571211,,,2003554.0,1688118.0,172402.0,24450.0,70009.0,1215788.0,787766.0,542675.0,148558.0,,,,0.001362766496654,0.04398117427956287,2.097095914161603,1.4740304643683197
Texas,48,Bexar,48029,2021-07-01,Partial Coverage,54.09609803289261,26.967918254149893,42.52738933565684,,130051.0,80342.0,38.34788630912626,,,2003554.0,1688118.0,172402.0,24450.0,70009.0,1215788.0,787766.0,542675.0,148558.0,,,,0.001443217586970948,0.04525239439394653,2.005942673182353,1.4106670077411412
