Geography,Geographic Level,FIPS Code,LDH Region,Demographic Group,Vaccine Status,Count,x,y
_Region 1,REGION,,1,Other Race,Complete,49120,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Unknown Race,Complete,3866,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,White,Complete,211533,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Female,Complete,216841,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Male,Complete,169339,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Gender Unkown,Complete,993,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 0-4,Incomplete,0,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 18-29,Incomplete,7737,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 30-39,Incomplete,6901,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 40-49,Incomplete,5929,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 50-59,Incomplete,5585,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 5-17,Incomplete,4537,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 60-69,Incomplete,4308,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 70 plus,Incomplete,2951,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Age Unknown,Incomplete,57,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Black,Incomplete,13907,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Other Race,Incomplete,7224,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Unknown Race,Incomplete,706,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,White,Incomplete,16168,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Female,Incomplete,20082,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Male,Incomplete,17789,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Gender Unkown,Incomplete,134,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 0-4,Unvaccinated,56387,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 18-29,Unvaccinated,92820,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 30-39,Unvaccinated,66682,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 40-49,Unvaccinated,48459,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 50-59,Unvaccinated,50596,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 5-17,Unvaccinated,122955,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 60-69,Unvaccinated,22557,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Aged 70 plus,Unvaccinated,8486,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Age Unknown,Unvaccinated,,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Black,Unvaccinated,228080,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Other Race,Unvaccinated,19503,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Unknown Race,Unvaccinated,,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,White,Unvaccinated,225826,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Female,Unvaccinated,193648,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Male,Unvaccinated,276316,-9964407.995989345,3459440.0726060355
_Region 1,REGION,,1,Gender Unkown,Unvaccinated,,-9964407.995989345,3459440.0726060355
